"date","total_cases","new_cases"
2020-01-21,1,1
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,1
2020-01-25,3,1
2020-01-26,5,2
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,6,1
2020-01-31,7,1
2020-02-01,8,1
2020-02-02,11,3
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,12,1
2020-02-06,12,0
2020-02-07,12,0
2020-02-08,12,0
2020-02-09,12,0
2020-02-10,13,1
2020-02-11,13,0
2020-02-12,14,1
2020-02-13,15,1
2020-02-14,15,0
2020-02-15,15,0
2020-02-16,15,0
2020-02-17,25,10
2020-02-18,25,0
2020-02-19,25,0
2020-02-20,27,2
2020-02-21,30,3
2020-02-22,30,0
2020-02-23,30,0
2020-02-24,43,13
2020-02-25,45,2
2020-02-26,60,15
2020-02-27,60,0
2020-02-28,65,5
2020-02-29,70,5
2020-03-01,88,18
2020-03-02,104,16
2020-03-03,125,21
2020-03-04,161,36
2020-03-05,228,67
2020-03-06,311,83
2020-03-07,428,117
2020-03-08,547,119
2020-03-09,748,201
2020-03-10,1018,270
2020-03-11,1263,245
2020-03-12,1668,405
2020-03-13,2224,556
2020-03-14,2898,674
2020-03-15,3600,702
2020-03-16,4507,907
2020-03-17,5906,1399
2020-03-18,8350,2444
2020-03-19,12393,4043
2020-03-20,18012,5619
2020-03-21,24528,6516
2020-03-22,33073,8545
2020-03-23,43505,10432
2020-03-24,53938,10433
2020-03-25,68572,14634
2020-03-26,85570,16998
2020-03-27,102900,17330
2020-03-28,123966,21066
2020-03-29,142486,18520
2020-03-30,163955,21469
2020-03-31,188461,24506
2020-04-01,215391,26930
2020-04-02,245108,29717
2020-04-03,277426,32318
2020-04-04,312525,35099
2020-04-05,338141,25616
2020-04-06,369057,30916
2020-04-07,399394,30337
2020-04-08,431214,31820
2020-04-09,465913,34699
2020-04-10,499386,33473
2020-04-11,531106,31720
2020-04-12,558249,27143
2020-04-13,584018,25769
2020-04-14,610709,26691
2020-04-15,640742,30033
2020-04-16,672355,31613
2020-04-17,703864,31509
2020-04-18,732262,28398
2020-04-19,757596,25334
2020-04-20,784991,27395
2020-04-21,810505,25514
2020-04-22,839336,28831
2020-04-23,873112,33776
2020-04-24,909853,36741
2020-04-25,944261,34408
2020-04-26,970996,26735
2020-04-27,994193,23197
2020-04-28,1018844,24651
2020-04-29,1045399,26555
2020-04-30,1075756,30357
2020-05-01,1109726,33970
2020-05-02,1139200,29474
