"date","new_cases"
2020-01-21,1
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,3
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,1
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,10
2020-02-18,0
2020-02-19,0
2020-02-20,2
2020-02-21,3
2020-02-22,0
2020-02-23,0
2020-02-24,13
2020-02-25,2
2020-02-26,15
2020-02-27,0
2020-02-28,5
2020-02-29,5
2020-03-01,18
2020-03-02,16
2020-03-03,21
2020-03-04,36
2020-03-05,67
2020-03-06,83
2020-03-07,117
2020-03-08,119
2020-03-09,201
2020-03-10,270
2020-03-11,245
2020-03-12,405
2020-03-13,556
2020-03-14,674
2020-03-15,702
2020-03-16,907
2020-03-17,1399
2020-03-18,2444
2020-03-19,4043
2020-03-20,5619
2020-03-21,6516
2020-03-22,8545
2020-03-23,10432
2020-03-24,10433
2020-03-25,14634
2020-03-26,16998
2020-03-27,17330
2020-03-28,21066
2020-03-29,18520
2020-03-30,21469
2020-03-31,24506
2020-04-01,26930
2020-04-02,29717
2020-04-03,32318
2020-04-04,35099
2020-04-05,25616
2020-04-06,30916
2020-04-07,30337
2020-04-08,31820
2020-04-09,34699
2020-04-10,33473
2020-04-11,31720
2020-04-12,27143
2020-04-13,25769
2020-04-14,26691
2020-04-15,30033
2020-04-16,31613
2020-04-17,31509
2020-04-18,28398
2020-04-19,25334
2020-04-20,27395
2020-04-21,25514
2020-04-22,28831
2020-04-23,33776
2020-04-24,36741
2020-04-25,34408
2020-04-26,26735
2020-04-27,23197
2020-04-28,24651
2020-04-29,26555
2020-04-30,30357
2020-05-01,33970
2020-05-02,29474
2020-05-03,26140
2020-05-04,21962
2020-05-05,23709
2020-05-06,24506
2020-05-07,28478
2020-05-08,27648
2020-05-09,24868
2020-05-10,20317
2020-05-11,17621
2020-05-12,22300
2020-05-13,21145
2020-05-14,26962
2020-05-15,26237
2020-05-16,23659
2020-05-17,19014
2020-05-18,21827
2020-05-19,20977
2020-05-20,23070
2020-05-21,25733
2020-05-22,23799
2020-05-23,22268
2020-05-24,20031
2020-05-25,19100
2020-05-26,18896
2020-05-27,18744
2020-05-28,22512
2020-05-29,24548
2020-05-30,23397
2020-05-31,20634
2020-06-01,21897
2020-06-02,20791
2020-06-03,19987
2020-06-04,21616
2020-06-05,28709
2020-06-06,22516
2020-06-07,18616
2020-06-08,18207
2020-06-09,18805
2020-06-10,22852
2020-06-11,23202
2020-06-12,25493
2020-06-13,25334
2020-06-14,19130
2020-06-15,20117
2020-06-16,24885
2020-06-17,25655
2020-06-18,28059
2020-06-19,30836
2020-06-20,32025
2020-06-21,26379
2020-06-22,30466
2020-06-23,35060
2020-06-24,36989
2020-06-25,41173
2020-06-26,45528
2020-06-27,42299
2020-06-28,39508
2020-06-29,39496
2020-06-30,48389
2020-07-01,49975
2020-07-02,55559
2020-07-03,57154
2020-07-04,50006
